transaction_id,order_id,merchant_id,merchant_category,customer_id,customer_tier,customer_ltv_inr,preferred_channel,amount_inr,currency,payment_method,bank_code,card_network,is_recurring,mandate_id,timestamp,hour_of_day,day_of_week,day_of_month,is_failed,gateway_error_code,gateway_error_description,failure_category,retry_attempt_count,ground_truth_optimal_action,ground_truth_optimal_delay_hours,ground_truth_recovery_prob,recovered_optimal,recovered_naive_immediate
txn_101387,order_201387,merch_stream_now,OTT_Media,cust_51328,REGULAR,48292.63,WHATSAPP,450.74,INR,EMANDATE_CARD,SBI,MASTERCARD,True,man_553324,2026-01-01 00:09:38,0,3,1,True,91,Card Issuer switch down or timeout,BANK_DOWNTIME,0,SMART_RETRY_DELAYED,2,0.83,0,0
txn_102475,order_202475,merch_saas_metrics,SaaS_B2B,cust_52203,REGULAR,20581.97,SMS,9219.37,INR,EMANDATE_CARD,HDFC,MASTERCARD,True,man_127305,2026-01-01 00:12:16,0,3,1,True,U19,NPCI / Beneficiary bank server unresponsive,BANK_DOWNTIME,0,SMART_RETRY_DELAYED,2,0.93,1,0
txn_100709,order_200709,merch_learn_hub,EdTech_Subscription,cust_53393,REGULAR,28703.74,WHATSAPP,1783.41,INR,UPI,KOTAK,NONE,True,man_210905,2026-01-01 00:24:20,0,3,1,True,91,Card Issuer switch down or timeout,BANK_DOWNTIME,1,SMART_RETRY_DELAYED,2,0.93,1,0
txn_108565,order_208565,merch_urban_threads,D2C_Ecommerce,cust_52644,REGULAR,45582.72,WHATSAPP,3894.42,INR,CARD,ICICI,VISA,False,,2026-01-01 00:28:05,0,3,1,True,TXN_LIMIT_EXCEEDED,Exceeded per-transaction banking limit,CARD_LIMIT_EXCEEDED,0,UPI_INTENT_SWITCH,0,0.7,1,1
txn_106998,order_206998,merch_stream_now,OTT_Media,cust_52019,REGULAR,31333.77,WHATSAPP,653.09,INR,NETBANKING,HDFC,NONE,True,man_609781,2026-01-01 00:30:09,0,3,1,True,91,Card Issuer switch down or timeout,BANK_DOWNTIME,2,SMART_RETRY_DELAYED,2,0.93,1,0
txn_109106,order_209106,merch_enterprise_erp,B2B_Invoicing,cust_50085,AT_RISK,7073.92,WHATSAPP,109553.21,INR,CARD,YESB,VISA,False,,2026-01-01 00:30:42,0,3,1,True,U19,NPCI / Beneficiary bank server unresponsive,BANK_DOWNTIME,0,SMART_RETRY_DELAYED,2,0.83,1,0
txn_106524,order_206524,merch_saas_metrics,SaaS_B2B,cust_53131,REGULAR,31625.1,SMS,33209.56,INR,CARD,HDFC,MASTERCARD,True,man_904642,2026-01-01 00:42:45,0,3,1,True,U30,e-Mandate registration expired or revoked by customer,MANDATE_EXPIRED,0,WHATSAPP_PAY_LINK,0,0.72,1,0
txn_107161,order_207161,merch_stream_now,OTT_Media,cust_51006,AT_RISK,3188.44,WHATSAPP,276.95,INR,EMANDATE_CARD,YESB,MASTERCARD,True,man_827387,2026-01-01 00:47:04,0,3,1,True,GATEWAY_TIMEOUT,Payment gateway connection timed out during bank routing,BANK_DOWNTIME,0,SMART_RETRY_DELAYED,2,0.83,1,0
txn_102830,order_202830,merch_enterprise_erp,B2B_Invoicing,cust_52241,REGULAR,34768.59,WHATSAPP,88226.67,INR,NETBANKING,ICICI,NONE,False,,2026-01-01 00:51:40,0,3,1,True,91,Card Issuer switch down or timeout,BANK_DOWNTIME,0,SMART_RETRY_DELAYED,2,0.93,1,1
txn_102728,order_202728,merch_enterprise_erp,B2B_Invoicing,cust_50116,REGULAR,21869.18,WHATSAPP,106044.47,INR,NETBANKING,HDFC,NONE,False,,2026-01-01 01:02:04,1,3,1,True,BALANCE_LOW,Pre-debit balance check failed,INSUFFICIENT_FUNDS,0,WHATSAPP_PAY_LINK,48,0.65,0,0
