seed,sample_size,total_at_risk_inr,ml_recovered_count,ml_recovery_rate_pct,ml_gross_recovered_inr,ml_operational_costs_inr,ml_friction_costs_inr,ml_net_revenue_inr,noml_recovered_count,noml_recovery_rate_pct,noml_gross_recovered_inr,noml_operational_costs_inr,noml_friction_costs_inr,noml_net_revenue_inr,rule_recovered_count,rule_recovery_rate_pct,rule_gross_recovered_inr,rule_operational_costs_inr,rule_friction_costs_inr,rule_net_revenue_inr,incremental_ml_lift_vs_noml_inr,macro_action_lift_vs_rule_inr,total_ml_lift_vs_rule_inr
42,1500,36351022.68,1155,82.67,30053162.06,23892.9,1233.0,30028036.16,1156,83.86,30482758.35,26897.3,1947.0,30453914.05,253,12.86,4674520.99,480.75,1197.0,4672843.24,-425877.89,25781070.81,25355192.92
143,1500,36351022.68,1142,80.96,29431327.52,23892.9,1233.0,29406201.62,1132,81.41,29592691.33,26897.3,1947.0,29563847.03,262,17.28,6280962.88,480.75,1197.0,6279285.13,-157645.41,23284561.9,23126916.49
244,1500,36351022.68,1155,80.45,29243960.2,23892.9,1233.0,29218834.3,1155,83.58,30383267.88,26897.3,1947.0,30354423.58,260,17.58,6389030.36,480.75,1197.0,6387352.61,-1135589.28,23967070.97,22831481.69
345,1500,36351022.68,1140,82.29,29914870.49,23892.9,1233.0,29889744.59,1140,80.63,29308512.49,26897.3,1947.0,29279668.19,259,16.95,6161903.52,480.75,1197.0,6160225.77,610076.4,23119442.42,23729518.82
446,1500,36351022.68,1158,81.65,29680674.8,23892.9,1233.0,29655548.9,1141,81.3,29551936.24,26897.3,1947.0,29523091.94,270,15.2,5525010.34,480.75,1197.0,5523332.59,132456.96,23999759.35,24132216.31
547,1500,36351022.68,1130,79.29,28823551.73,23892.9,1233.0,28798425.83,1143,80.98,29438635.74,26897.3,1947.0,29409791.44,283,15.94,5795394.87,480.75,1197.0,5793717.12,-611365.61,23616074.32,23004708.71
648,1500,36351022.68,1145,79.98,29073130.49,23892.9,1233.0,29048004.59,1153,82.28,29908149.47,26897.3,1947.0,29879305.17,254,14.39,5229847.15,480.75,1197.0,5228169.4,-831300.58,24651135.77,23819835.19
749,1500,36351022.68,1138,81.32,29562329.47,23892.9,1233.0,29537203.57,1122,79.16,28776332.11,26897.3,1947.0,28747487.81,268,17.44,6338858.46,480.75,1197.0,6337180.71,789715.76,22410307.1,23200022.86
850,1500,36351022.68,1127,80.75,29353025.76,23892.9,1233.0,29327899.86,1141,82.85,30117665.28,26897.3,1947.0,30088820.98,276,15.74,5720711.94,480.75,1197.0,5719034.19,-760921.12,24369786.79,23608865.67
951,1500,36351022.68,1116,79.08,28746348.43,23892.9,1233.0,28721222.53,1150,82.3,29917344.76,26897.3,1947.0,29888500.46,289,17.64,6412609.19,480.75,1197.0,6410931.44,-1167277.93,23477569.02,22310291.09
1052,1500,36351022.68,1152,80.83,29381445.09,23892.9,1233.0,29356319.19,1158,83.31,30283781.46,26897.3,1947.0,30254937.16,282,18.23,6626267.8,480.75,1197.0,6624590.05,-898617.97,23630347.11,22731729.14
